Ngày: ,Doanh thu Affilicate (nghìn đồng),Doanh thu cửa hàng (nghìn đồng),Đơn giá bình quân (nghìn đồng),Lượt bán (nghìn lượt),Doanh thu tài khoản tự vận hành (nghìn đồng)
8/10/2024,1410000,1940,118.91,12.35,10440
8/11/2024,1470000,6770,119.14,13.32,12500
8/12/2024,1340000,3130,104.27,13.5,13060
8/13/2024,1790000,829.85,117.69,15.97,16180
8/14/2024,1610000,0,114.85,14.81,17820
8/15/2024,1780000,1370000,114.68,28.35,24310
8/16/2024,1360000,550.68,88.45,16.14,27180
8/17/2024,1510000,2240,99.19,16.46,27210
8/18/2024,1090000,277.33,85.92,13.65,13670
8/19/2024,1560000,333.37,97.1,17.01,19440
8/20/2024,1130000,138.42,84.37,14.14,16180
8/21/2024,1360000,734.76,107.54,13.28,19850
8/22/2024,1260000,192.21,100.15,13.43,30490
8/23/2024,1160000,456.41,99.74,12.28,14570
8/24/2024,1140000,176.16,98.57,12.35,19820
8/25/2024,7770000,0,94.8,8.78,26990
8/26/2024,9640000,0,98.44,10.36,18710
8/27/2024,1120000,1020000,95.91,12.57,34350
8/28/2024,9490000,1240000,110.83,9.4,34600
8/29/2024,1450000,11380000,85.77,17.82,20440
8/30/2024,1070000,554.77,91.08,12.81,38430
8/31/2024,1070000,139.7,91.33,12.45,26340
9/1/2024,9290000,0,90.78,11.06,13330
9/2/2024,7830000,442.21,95.46,8.83,10730
9/3/2024,1400000,1740000,93.68,16.41,19390
9/4/2024,1450000,0,107.94,15.01,41880
9/5/2024,1670000,8850000,109.51,16.85,25640
9/6/2024,1330000,0,98.83,14.57,28140
9/7/2024,1010000,0,96.8,10.99,18580
9/8/2024,1110000,0,98.09,11.84,14290
9/9/2024,1810000,0,100,19.07,46450
9/10/2024,1780000,2740,102.27,18.35,23290
9/11/2024,1620000,720.54,104.57,16.18,24260
9/12/2024,1770000,6420,104.89,18.02,37600
9/13/2024,1710000,2960,103.05,17.5,21500
9/14/2024,1630000,22380,103.28,18.19,32220
9/15/2024,1280000,6350,97.17,14.94,20420
9/16/2024,1810000,15100,103.39,19.05,28100
9/17/2024,1370000,7790,99.63,14.87,24920
9/18/2024,1360000,5470,98.67,14.63,25480
9/19/2024,1390000,5120,100.01,14.61,31230
9/20/2024,1270000,2520,100.88,13.21,28600
9/21/2024,1220000,2540,100.56,12.92,30880
9/22/2024,1060000,296.69,99.59,11.18,23500
9/23/2024,1410000,5870,100.15,15.02,31140
9/24/2024,1210000,4920,99.15,13.14,30840
9/25/2024,680760,0,83.08,8.65,21630
9/26/2024,1450000,1090,108.35,14.45,32320
9/27/2024,1120000,0,103.32,11.65,27560
9/28/2024,1050000,0,104.05,10.85,31950
9/29/2024,503670,170,89.93,5.92,11120
9/30/2024,1440000,6800,110.71,13.65,27250
10/1/2024,723770,5060,106.39,7.31,19570
10/2/2024,10890,0,88.79,0.204,6940
10/3/2024,2490000,169520,112.72,24.64,49550
10/4/2024,1520000,14510,109.04,14.56,28280
10/5/2024,555740,4780,99.99,5.88,18160
10/6/2024,540530,1530,96.28,6.01,26750
10/7/2024,1380000,11230,108.42,14.09,37700
