,Ngày,Doanh thu Affilicate,Doanh thu cửa hàng,Đơn giá bình quân,Lượt bán,Doanh thu tài khoản tự vận hành
0,8/10/2024,0.145300033,0.000170475,0.993621742,0.431535565,0.082140343
1,8/11/2024,0.151531138,0.000594903,1,0.465998721,0.130485801
2,8/12/2024,0.13803041,0.000275044,0.587631725,0.472393946,0.143628256
3,8/13/2024,0.184763701,7.29E-05,0.95978924,0.560150643,0.216850505
4,8/14/2024,0.166070384,0,0.881031614,0.518936972,0.255339122
5,8/15/2024,0.183725183,0.120386643,0.876317249,1,0.407650786
6,8/16/2024,0.140107445,4.84E-05,0.148918469,0.566190578,0.475005867
7,8/17/2024,0.155685209,0.000196837,0.446755408,0.577559866,0.475709927
8,8/18/2024,0.11206747,2.44E-05,0.078757626,0.4777233,0.157944145
9,8/19/2024,0.160877797,2.93E-05,0.38879645,0.597100831,0.293358367
10,8/20/2024,0.116221541,1.22E-05,0.03577371,0.495132523,0.216850505
11,8/21/2024,0.140107445,6.46E-05,0.678313921,0.46457756,0.302980521
12,8/22/2024,0.129722269,1.69E-05,0.473377704,0.469906914,0.552687163
13,8/23/2024,0.119337093,4.01E-05,0.462007765,0.429048533,0.179065947
14,8/24/2024,0.117260058,1.55E-05,0.429561841,0.431535565,0.302276461
15,8/25/2024,0.805797213,0,0.325013866,0.304696937,0.47054682
16,8/26/2024,1,0,0.425956739,0.3608328,0.276226238
17,8/27/2024,0.115183023,0.089630931,0.355795896,0.439351951,0.643276226
18,8/28/2024,0.984422236,0.108963093,0.769550749,0.326724934,0.649143394
19,8/29/2024,0.149454103,1,0.074597892,0.625879343,0.316827036
20,8/30/2024,0.109990435,4.87E-05,0.221852468,0.447878917,0.739028397
21,8/31/2024,0.109990435,1.23E-05,0.228785358,0.435088467,0.455292185
22,9/1/2024,0.963651885,0,0.213533001,0.385703119,0.149964797
23,9/2/2024,0.812028318,3.89E-05,0.343316694,0.306473389,0.088946257
24,9/3/2024,0.144261515,0.152899824,0.29395452,0.575783415,0.292184933
25,9/4/2024,0.149454103,0,0.689406545,0.526042777,0.819995306
26,9/5/2024,0.17230149,0.777680141,0.732945092,0.591416187,0.438864116
27,9/6/2024,0.136991892,0,0.436772047,0.510410005,0.49753579
28,9/7/2024,0.10375933,0,0.380476983,0.383216088,0.273175311
29,9/8/2024,0.114144506,0,0.416250693,0.413415761,0.17249472
30,9/9/2024,0.186840736,0,0.46921797,0.670290627,0.927247125
31,9/10/2024,0.183725183,0.000240773,0.532168608,0.644709728,0.383712743
32,9/11/2024,0.167108902,6.33E-05,0.595951192,0.567611739,0.406477353
33,9/12/2024,0.182686666,0.000564148,0.604825291,0.632985149,0.719549402
34,9/13/2024,0.17645556,0.000260105,0.553799224,0.614510055,0.341703825
35,9/14/2024,0.16814742,0.001966608,0.560177482,0.639025083,0.593287961
36,9/15/2024,0.131799304,0.000557996,0.390737659,0.523555745,0.316357663
37,9/16/2024,0.186840736,0.001326889,0.563227953,0.669580047,0.496597043
38,9/17/2024,0.141145963,0.000684534,0.458957293,0.521068713,0.421966674
39,9/18/2024,0.140107445,0.000480668,0.432334997,0.512541747,0.435109129
40,9/19/2024,0.143222998,0.000449912,0.469495286,0.511831166,0.570053978
41,9/20/2024,0.130760787,0.000221441,0.493621742,0.462090528,0.508331378
42,9/21/2024,0.125568199,0.000223199,0.484747643,0.45178711,0.561839944
43,9/22/2024,0.108951918,2.61E-05,0.457848031,0.389966603,0.388641164
44,9/23/2024,0.145300033,0.000515817,0.473377704,0.526398067,0.567941798
45,9/24/2024,0.124529681,0.000432337,0.445646145,0.459603496,0.560901197
46,9/25/2024,0.069567177,0,0,0.300078164,0.344754752
47,9/26/2024,0.149454103,9.58E-05,0.700776484,0.506146522,0.595634828
48,9/27/2024,0.115183023,0,0.561286744,0.406665246,0.483923962
49,9/28/2024,0.1079134,0,0.581530782,0.378242024,0.58695142
50,9/29/2024,0.051176069,1.49E-05,0.189961176,0.20308392,0.098099038
51,9/30/2024,0.148415586,0.00059754,0.766222962,0.4777233,0.476648674
52,10/1/2024,0.074033841,0.00044464,0.646422629,0.252469267,0.296409294
53,10/2/2024,0,0,0.158347199,0,0
54,10/3/2024,0.257459931,0.014896309,0.821963394,0.868187309,1
55,10/4/2024,0.156723726,0.001275044,0.719911259,0.510054715,0.500821403
56,10/5/2024,0.05658363,0.000420035,0.468940654,0.201662758,0.26331847
57,10/6/2024,0.055004045,0.000134446,0.366056572,0.206281532,0.464914339
58,10/7/2024,0.14218448,0.000986819,0.702717693,0.493356072,0.721896268
